name,links,has_tome,last_tome
batuque,https://fmteam.fr/comics/batuque,no,None
berserk,https://fmteam.fr/comics/berserk,no,None
blue-lock,https://fmteam.fr/comics/blue-lock,no,None
blue-lock-episode-nagi,https://fmteam.fr/comics/blue-lock-episode-nagi,no,None
bouncer,https://fmteam.fr/comics/bouncer,yes,13
choujin-x,https://fmteam.fr/comics/choujin-x,no,None
dgray-man,https://fmteam.fr/comics/dgray-man,no,None
dai-dark,https://fmteam.fr/comics/dai-dark,no,None
dandadan,https://fmteam.fr/comics/dandadan,no,None
dr-stone-4d-science,https://fmteam.fr/comics/dr-stone-4d-science,no,None
hajime-no-ippo,https://fmteam.fr/comics/hajime-no-ippo,no,None
kamen-byoto,https://fmteam.fr/comics/kamen-byoto,yes,3
kingdom,https://fmteam.fr/comics/kingdom,no,None
out,https://fmteam.fr/comics/out,yes,18
one-punch-man,https://fmteam.fr/comics/one-punch-man,no,None
real,https://fmteam.fr/comics/real,no,None
the-fable-the-second-contact,https://fmteam.fr/comics/the-fable-the-second-contact,yes,7
vinland-saga,https://fmteam.fr/comics/vinland-saga,no,None
yomi-no-tsugai,https://fmteam.fr/comics/yomi-no-tsugai,no,None
yomotsuhegui,https://fmteam.fr/comics/yomotsuhegui,no,None
