MangaName,n_chapter
astro-royale,13
jujutsu-kaisen,85
one-piece,84
spy-x-family,26
my-hero-academi,1
jujutsu-kaisen-262-partie-2,1
my-hero-academia,78
jujutsu-kaisen-colo,1
spy-x-family--mission-de-recherche,1
one-piece-colo,3
black-clover,44
berserk,7
"spy-x-family,-extra-mission",4
one-piece-(version-finale),1
hunter-x-hunter,10
renai-daikou,3
tenmaku-cinema,5
black-clover-version-couleur,1
road-to-laugh-tale,3
love-is-war,5
road-to-laugh-tale-vol-3,1
boruto,1
boruto-naruto-next-generations,1
